timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
533493786,0.00802938,-0.061003774,0.2995625,0.0,0.98831755,0.008518688,-0.029556662,0.14927231,0.0,0.0,-0.58358485,0,0,0,0,0
533548069,0.0051866584,-0.061061002,0.2995625,0.0,0.9883278,0.00711819,-0.029797083,0.14923008,0.0,0.0,-0.5896229,0,0,0,0,0
533597536,0.0032485118,-0.06505712,0.29956254,0.0,0.9882715,0.0064583295,-0.031916402,0.14919496,0.0,0.0,-0.58947897,0,0,0,0,0
533647192,0.0019157171,-0.067016825,0.2995625,0.0,0.98824346,0.00594585,-0.032984175,0.14916974,0.0,0.0,-0.5898943,0,0,0,0,0
533696781,0.0009485133,-0.06848556,0.29956254,0.0,0.9882215,0.005577443,-0.03378204,0.14915043,0.0,0.0,-0.5963587,0,0,0,0,0
533746647,0.007338414,-0.07141653,0.2995625,0.0,0.9881472,0.008953088,-0.034753546,0.14925526,0.0,0.0,-0.59725136,0,0,0,0,0
533796222,-0.0034068117,-0.07347073,0.29956254,0.0,0.9881445,0.003797281,-0.036569856,0.14905912,0.0,0.0,-0.59215605,0,0,0,0,0
533845694,0.0075087384,-0.076941825,0.2995625,0.0,0.9880436,0.009448822,-0.037470717,0.14925319,0.0,0.0,-0.59780616,0,0,0,0,0
533895304,0.0053273374,-0.07485413,0.2995625,0.0,0.9880929,0.008215608,-0.036602046,0.14921537,0.0,0.0,-0.60204875,0,0,0,0,0
533944997,0.016421812,-0.07545323,0.2995625,0.0,0.9880206,0.013741216,-0.036069747,0.14941686,0.0,0.0,-0.6009391,0,0,0,0,0
533994514,0.012086263,-0.0736913,0.29956254,0.0,0.98808134,0.01146821,-0.035523057,0.14933798,0.0,0.0,-0.610548,0,0,0,0,0
534043983,0.010892032,-0.073817134,0.2995625,0.0,0.9880857,0.010887581,-0.035674397,0.14931673,0.0,0.0,-0.6208413,0,0,0,0,0
534098321,0.015017242,-0.07149224,0.2995625,0.0,0.98810416,0.012752555,-0.03421765,0.14938767,0.0,0.0,-0.6216991,0,0,0,0,0
534147783,0.020708902,-0.06848343,0.29956254,0.0,0.98811823,0.0153406765,-0.03230573,0.1494769,0.0,0.0,-0.62986356,0,0,0,0,0
534197317,0.0164689,-0.06662281,0.29956248,0.0,0.98818076,0.013107347,-0.031703174,0.14940518,0.0,0.0,-0.62191194,0,0,0,0,0
