timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
548037664,9.758,9.956271,10.3044,10.8562765,-1.0,523.52466,0.0,1.1571429,nan,3,3.318757,3.318757,3.318757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
548247711,10.086,9.959335,10.85,10.820509,-1.0,524.151,0.0,1.1571429,nan,3,3.3197784,3.3197784,3.3197784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
548447817,9.8072,9.950259,10.986401,10.756545,-1.0,524.74097,0.0,1.1571429,nan,3,3.3167531,3.3167531,3.3167531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
548647663,10.0532,9.942743,11.5444,10.931794,-1.0,525.3668,0.0,1.1571429,nan,3,3.3142478,3.3142478,3.3142478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
548847668,10.0286,9.9369955,11.3584,11.098606,-1.0,526.0024,0.0,1.1571429,nan,3,3.312332,3.312332,3.312332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
549047702,10.0778,9.901091,11.0112,11.161521,-1.0,526.6308,0.0,1.1571429,nan,3,3.3003635,3.3003635,3.3003635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
549237670,9.7662,9.900224,10.552401,11.019232,-1.0,527.1956,0.0,1.1571429,nan,3,3.3000746,3.3000746,3.3000746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
549448182,10.3566,9.929997,10.8252,11.029807,-1.0,527.8415,0.0,1.1571429,nan,3,3.3099992,3.3099992,3.3099992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
549647852,9.8072,9.912839,9.4612,10.792378,-1.0,528.41516,0.0,1.1571429,nan,3,3.3042796,3.3042796,3.3042796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
549847748,9.7744,9.911007,9.9696,10.472177,-1.0,528.9599,0.0,1.1571429,nan,3,3.303669,3.303669,3.303669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
